test_1;1.5;1.5;1E-13;1.6;1.6;1E-13;1.5;1.5;1E-13
test_2;1.5;1.5;1E-13;1.55;1.55;1E-13;1.5;1.5;1E-13
test_3;1.5;1.5;1E-13;1.51;1.51;1E-13;1.5;1.5;1E-13
test_4;1.5;1.51;1E-13;1.6;1.61;1E-13;1.5;1.51;1E-13
test_5;1.5;1.51;1E-13;1.55;1.56;1E-13;1.5;1.51;1E-13
test_6;1.5;1.51;1E-13;1.51;1.52;1E-13;1.5;1.51;1E-13
test_7;1.5;1.55;1E-13;1.6;1.65;1E-13;1.5;1.55;1E-13
test_8;1.5;1.55;1E-13;1.55;1.6;1E-13;1.5;1.55;1E-13
test_9;1.5;1.55;1E-13;1.51;1.56;1E-13;1.5;1.55;1E-13
test_10;1.5;1.6;1E-13;1.6;1.7;1E-13;1.5;1.6;1E-13
test_11;1.5;1.6;1E-13;1.55;1.65;1E-13;1.5;1.6;1E-13
test_12;1.5;1.6;1E-13;1.51;1.61;1E-13;1.5;1.6;1E-13
test_13;1.5;1.7;1E-13;1.6;1.8;1E-13;1.5;1.7;1E-13
test_14;1.5;1.7;1E-13;1.55;1.75;1E-13;1.5;1.7;1E-13
test_15;1.5;1.7;1E-13;1.51;1.71;1E-13;1.5;1.7;1E-13
